克卜勒,Johannes Kepler,1571-1630
史達林,Joseph Stalin,1878-1953
奧黛麗赫本,Audrey Hepburn,1929-1993
孟德爾,Gregor Johann Mendel,1822-1884
孫中山,Sun Yat-Sen,1866-1925
安德魯斯,Julie Andrews
巴哈,Bach,1685-1750
愛因斯坦,Albert Einstein,1879-1955
愛迪生,Thomas Alva Edison,1847-1931
戴高樂,Charles André Joseph Marie de Gaulle,1890-1970
曼德拉,Nelson Mandela,1918-2013
林肯,Abraham Lincoln,1809-1865
柴可夫斯基,Tchaikovsky,1840-1893
湯姆克魯斯,Tom Cruise,1962-
牛頓,Newton,1643-1727
瑪麗蓮夢露,Marilyn Monroe,1926-1962
神力女超人,Wonder Woman
艾森豪,Dwight David Eisenhower,1890-1969
莫內,Claude Monet,1840-1926
華盛頓,George Washington,1732-1799
貝多芬,Beethoven,1770-1827
賈桂琳,Jackie Kennedy,1929-1994
達文西,da Vinci,1452-1519
雷諾瓦,Renoir,1841-1919
香奈兒,Gabrielle Coco Chanel,1883-1971
馬克吐溫,Samuel Langhorne Clemens,1835-1910
格羅夫斯,Leslie Richard Groves,1896-1970
格蘭特,Hiram Ulysses Grant,1822-1885
梅爾加,Agustín Melgar,1829-1847
波卡康塔斯,Pocahontas,1596-1617
波爾克,James Knox Polk,1795-1849
泰勒,Zachary Taylor,1784-1850
海爾,Sarah Josepha Buell Hale,1788-1879
漢考克,John Hancock,1737-1793
潘恩,Thomas Paine,1737-1809
特拉維斯,William Travis,1809-1836
白努利,Daniel Bernoulli,1700-1782
矢內原忠雄,Tadao Yanaihara,1893-1961
福斯特,Stephen Collins Foster,1826-1864
約克,Alvin Cullum York,1887-1964
艾碧蓋爾,Abigail Adams,1744-1818
約翰史特勞斯,Johann Strauss II,1825-1899
芭芭拉史坦威,Barbara Stanwyck,1907-1990
蘇亞雷斯,Vicente Suarez,1833-1847
蘭福德,Nathaniel Pitt Langford,1832-1911
西科德,Statue of Laura Secord,1775-1868
里維爾,Paul Revere,1734-1818
雪曼,William Tecumseh Sherman,1820-1891
霍瑞斯曼,Horace Mann,1796-1859
韋伯斯特,Noah Webster,1758-1843
馬歇爾,John Marshall,1755-1835
馬爾克斯,Francisco Marquez,1834-1847
鮑伊,James Bowie,1796-1836
麥迪遜,James Madison,1751-1836
麥金利,William McKinley,1843-1901
三船敏郎,Toshiro Mifune,1920-1997
久原房之助,Fusanosuke Kuhara,1869-1965
傑克森,Andrew Jackson,1767-1845
克萊,Henry Clay,1777-1852
卡內基,Andrew Carnegie,1835-1919
卡尼,Stephen Watts Kearny,1794-1848
史托夫人,Harriet Beecher Stowe,1811-1896
史考特,Winfield Scott,1786-1866
史密斯船長,John Smith,1580-1631
多恩,Gustavus Cheyney Doane,1840-1892
多莉,Dolley Payne Todd Madison,1768-1849
奧卡,Fernando Montes de Oca,1829-1847
奧本海默,Julius Robert Oppenheimer,1904-1967
寶嘉康蒂,Pocahontas,1596-1617
尹衍樑,Samuel Yin,1950-
山內博,Hiroshi Yamauchi,1927-2013
尼古拉二世,Nicholas II,1868-1918
山本五十六,Isoroku Yamamoto,1884-1943
巴格拉斯,David Berglas,1926-
布恩,Daniel Boone,1734-1820
伊麗莎白一世,Elizabeth I,1533-1603
休斯頓,Samuel Houston,1793-1863
布蘭,Rebecca Bryan,1739-1813
帕克,Fess Parker,1924-2010
平原綾香,Ayaka Hirahara,1984-
庫柏,James Fenimore Cooper,1789-1851
弘一法師,Hong Yi,1880-1942
惠特尼,Eli Whitney,1765-1825
惠特曼,Walt Whitman,1819-1892
亞當斯,John Adams,1735-1826
亞當斯,Samuel Adams,1722-1803
亞歷山大二世,Alexander II,1818-1881
愛斯庫提亞,Juan Escutia,1827-1847
戴維斯,Marion Davies,1897-1961
托爾斯泰,Leo Tolstoy,1828-1910
拉許,Benjamin Rush,1745-1813
文森,Strong Vincent,1837-1863
